Product_1,Product_2,num_baskets
118,181,8
118,7,10
118,94,11
181,7,10
181,94,6
7,94,6
219,78,9
104,145,9
167,243,8
167,255,10
167,54,5
167,8,8
243,255,13
243,54,10
243,8,14
255,54,15
255,8,6
54,8,12
109,205,4
109,227,5
109,252,7
205,227,15
205,252,9
227,252,13
32,42,6
32,7,8
42,7,9
114,136,7
189,28,8
170,248,16
170,8,8
248,8,7
118,213,8
118,4,11
213,4,10
123,173,13
115,247,7
115,36,10
115,70,14
115,73,4
247,36,11
247,70,11
247,73,12
36,70,8
36,73,7
70,73,7
171,182,10
171,233,9
171,76,12
182,233,12
182,76,8
233,76,10
170,198,12
170,244,10
170,62,5
198,244,5
198,62,8
244,62,10
146,197,12
146,219,9
146,22,9
146,248,14
197,219,11
197,22,10
197,248,7
219,22,8
219,248,13
22,248,7
136,181,11
136,236,7
136,57,11
136,96,6
181,236,11
181,57,5
181,96,9
236,57,12
236,96,9
57,96,9
225,44,9
225,67,17
225,76,12
44,67,11
44,76,13
67,76,8
128,213,8
128,27,6
213,27,7
103,23,5
103,236,9
103,74,14
23,236,12
23,74,5
236,74,9
209,214,9
246,50,12
246,69,9
50,69,10
207,50,8
207,84,5
50,84,15
157,183,5
157,63,7
183,63,3
226,99,10
117,121,8
117,156,7
117,173,7
117,65,13
121,156,8
121,173,10
121,65,9
156,173,7
156,65,10
173,65,5
144,148,9
144,240,6
144,30,10
148,240,14
148,30,6
240,30,13
11,186,9
11,196,10
11,60,8
11,7,11
186,196,6
186,60,7
186,7,8
196,60,8
196,7,15
60,7,9
122,60,8
122,70,13
60,70,13
143,246,11
102,120,20
102,197,8
102,48,6
120,197,5
120,48,13
197,48,11
24,255,6
24,28,8
24,99,9
255,28,11
255,99,13
28,99,9
195,197,11
195,217,6
195,60,11
197,217,15
197,60,9
217,60,4
164,185,7
164,251,8
164,56,10
185,251,7
185,56,13
251,56,9
146,188,8
146,226,6
188,226,7
154,229,11
154,248,9
154,46,5
229,248,7
229,46,6
248,46,7
112,199,7
112,215,12
112,34,10
112,58,7
199,215,8
199,34,11
199,58,10
215,34,3
215,58,8
34,58,13
245,29,10
245,54,6
245,8,7
245,98,10
29,54,5
29,8,13
29,98,8
54,98,8
8,98,9
191,38,4
191,88,3
191,98,7
191,99,10
38,88,6
38,98,10
38,99,7
88,98,15
88,99,11
98,99,9
162,82,13
125,144,10
125,189,9
125,80,12
144,189,6
144,80,10
189,80,9
126,245,16
126,48,10
126,75,13
245,48,14
245,75,11
48,75,9
190,214,2
190,39,8
190,54,5
214,39,12
214,54,15
39,54,6
111,136,12
111,199,9
111,225,8
111,41,4
136,199,10
136,225,7
136,41,9
199,225,8
199,41,9
225,41,10
126,208,11
126,231,10
126,37,8
208,231,7
208,37,12
231,37,12
26,89,9
1,102,9
1,3,8
1,45,7
102,3,13
102,45,16
3,45,6
128,131,11
128,139,8
128,192,6
131,139,10
131,192,3
139,192,10
125,156,7
125,204,6
125,60,11
125,92,13
156,204,9
156,60,8
156,92,11
204,60,9
204,92,14
60,92,9
124,203,13
124,254,8
124,96,8
203,254,3
203,96,11
254,96,12
113,127,8
113,21,6
113,54,14
127,21,10
127,54,9
21,54,7
102,11,8
102,114,7
102,32,11
102,60,6
11,114,12
11,32,10
114,32,14
114,60,5
32,60,12
144,212,7
144,22,12
144,236,12
212,22,7
212,236,8
22,236,9
171,24,14
171,242,6
171,79,11
24,242,9
24,79,8
242,79,9
109,173,12
109,20,8
109,249,9
109,82,8
173,20,12
173,249,10
173,82,10
20,249,4
20,82,6
249,82,9
100,133,7
100,33,9
133,33,8
143,222,7
143,6,7
143,65,12
222,6,8
222,65,8
6,65,9
134,14,3
134,241,11
134,79,6
14,241,4
14,79,9
241,79,10
5,61,4
148,242,6
202,237,9
202,241,11
237,241,9
194,68,12
194,78,12
68,78,11
103,110,9
103,18,10
103,65,4
110,18,10
110,65,11
18,65,13
204,97,7
176,31,6
102,70,13
102,91,7
70,91,9
149,159,5
106,149,11
106,215,9
106,4,6
149,215,8
149,4,4
215,4,7
145,196,6
145,33,11
145,50,9
145,97,7
196,33,8
196,50,8
196,97,8
33,50,10
33,97,13
50,97,7
130,254,7
130,28,11
130,37,12
254,28,11
254,37,5
28,37,6
116,124,6
116,185,6
116,206,6
124,185,10
124,206,9
185,206,8
250,87,5
117,134,8
117,164,9
117,244,8
117,71,4
134,164,18
134,244,17
134,71,10
164,244,12
164,71,8
244,71,2
106,134,7
122,129,10
122,15,12
122,220,11
122,244,6
129,15,12
129,220,3
129,244,9
15,220,5
15,244,7
220,244,8
111,118,7
111,139,7
111,15,9
118,139,12
118,15,10
139,15,11
204,205,12
204,30,12
204,88,8
205,30,8
205,88,4
30,88,7
109,13,8
109,139,5
109,21,5
109,54,10
13,139,12
13,21,11
13,54,8
139,21,9
139,54,9
209,26,9
18,188,13
110,179,5
110,249,14
110,31,15
110,84,9
179,249,9
179,31,15
179,84,6
249,31,7
249,84,11
31,84,7
106,116,12
106,146,13
106,47,11
106,71,7
116,146,8
116,47,10
116,71,9
146,47,12
146,71,11
47,71,9
127,178,9
127,194,10
178,194,10
105,252,4
105,32,5
252,32,6
222,64,10
150,166,9
150,33,11
150,51,8
150,95,16
166,33,10
166,51,10
166,95,10
33,51,10
33,95,7
51,95,13
134,202,10
246,254,6
115,184,7
115,208,15
115,97,8
184,208,6
184,97,14
208,97,13
128,15,7
128,98,13
15,98,5
151,189,9
151,206,6
151,4,5
189,206,8
189,4,8
206,4,13
106,122,4
106,150,6
106,171,9
106,179,9
122,150,13
122,171,8
122,179,5
150,171,11
150,179,9
171,179,9
122,146,8
122,72,5
146,72,10
212,38,19
136,159,5
136,9,7
136,93,7
159,9,8
159,93,11
9,93,11
164,45,6
164,61,9
164,74,15
45,61,11
45,74,6
61,74,12
156,245,9
206,217,11
206,253,10
206,76,8
217,253,8
217,76,9
253,76,7
166,32,10
166,41,8
166,5,11
166,54,5
32,41,6
32,5,12
32,54,11
41,5,7
41,54,10
5,54,8
105,91,12
146,193,10
17,245,7
17,60,5
245,60,10
149,171,7
171,215,2
164,99,9
112,144,3
112,247,6
112,73,8
144,247,8
144,73,8
132,228,16
132,232,11
132,66,9
132,98,10
228,232,10
228,66,10
228,98,13
232,66,14
232,98,9
66,98,7
146,239,6
146,79,8
146,93,7
239,79,6
239,93,6
79,93,7
129,59,7
129,6,7
59,6,5
1,185,8
1,35,6
1,67,10
185,35,11
185,67,11
35,67,7
137,162,6
105,40,7
105,62,6
40,62,4
17,20,8
17,90,11
20,90,9
114,121,13
114,185,7
114,22,10
114,52,9
121,185,7
121,22,10
121,52,7
185,22,8
185,52,9
22,52,8
147,151,5
147,39,10
147,78,5
151,39,7
151,78,12
39,78,11
39,67,9
39,70,9
67,70,10
163,183,8
163,81,13
183,81,7
175,52,8
175,75,8
52,75,12
124,146,5
124,208,11
124,226,10
124,54,11
146,208,7
146,54,11
208,226,11
208,54,11
226,54,16
140,51,12
131,178,10
131,3,16
131,31,8
178,3,8
178,31,4
3,31,10
104,133,15
104,194,6
104,63,6
133,194,9
133,63,7
194,63,10
246,249,10
246,81,5
249,81,4
108,168,12
108,170,8
108,243,12
108,63,5
168,170,11
168,243,12
168,63,4
170,243,14
170,63,5
243,63,9
0,84,5
0,93,7
0,96,8
84,93,6
84,96,14
93,96,7
155,170,8
155,248,9
155,35,9
170,35,16
248,35,4
131,222,4
131,226,13
222,226,10
100,156,7
100,188,3
100,70,6
156,188,10
156,70,7
188,70,6
178,242,7
178,65,13
242,65,12
168,233,5
168,24,7
168,67,6
233,24,9
233,67,5
24,67,5
11,172,16
123,160,15
123,218,6
123,237,12
123,82,12
160,218,9
160,237,8
160,82,11
218,237,7
218,82,10
237,82,7
155,178,7
166,19,13
166,194,11
166,201,11
166,208,12
19,194,7
19,201,13
19,208,3
194,201,8
194,208,16
201,208,7
37,73,3
134,189,11
18,181,12
18,32,13
18,60,9
18,76,7
181,32,8
181,60,5
181,76,10
32,76,12
60,76,11
112,223,11
112,53,9
223,53,12
185,210,11
185,246,10
185,70,10
210,246,10
210,56,4
210,70,8
246,56,11
246,70,16
56,70,12
159,197,7
104,139,15
104,66,4
104,8,9
139,66,15
139,8,14
66,8,7
125,191,17
125,201,13
125,48,13
125,95,5
191,201,9
191,48,12
191,95,8
201,48,15
201,95,10
48,95,5
211,63,7
106,251,8
106,41,8
106,64,3
251,41,6
251,64,7
41,64,3
100,204,8
100,40,5
100,51,9
204,40,13
204,51,12
40,51,11
2,242,10
2,43,7
242,43,11
213,74,10
213,81,5
213,93,9
74,81,9
74,93,9
81,93,10
199,227,9
199,254,9
199,27,11
199,31,12
227,254,8
227,27,7
227,31,5
254,27,10
254,31,4
27,31,10
129,186,7
129,64,5
186,64,10
108,30,5
149,218,6
149,220,11
218,220,9
239,242,7
239,64,6
239,98,6
242,64,7
242,98,14
64,98,6
16,31,12
16,75,7
31,75,4
115,229,8
115,6,6
115,63,10
115,98,8
229,6,10
229,63,4
229,98,5
6,63,9
6,98,11
63,98,6
186,191,11
184,43,7
184,84,9
43,84,6
157,2,5
157,30,7
2,30,4
13,188,11
13,255,9
13,26,9
13,67,6
188,255,13
188,26,9
188,67,4
255,26,6
255,67,8
26,67,11
102,108,8
102,253,9
102,98,12
108,114,12
108,253,13
108,98,9
114,253,7
114,98,6
253,98,9
106,204,12
106,221,9
106,81,6
204,221,9
204,81,10
221,81,3
145,206,12
145,6,7
145,64,11
206,6,9
206,64,9
6,64,7
179,252,9
179,46,6
179,89,12
252,46,9
252,89,7
46,89,11
172,189,12
172,204,15
172,210,11
189,204,6
189,210,12
204,210,8
163,27,14
143,42,7
143,45,4
42,45,13
1,56,13
1,59,6
1,68,8
1,99,7
56,59,10
56,68,11
56,99,8
59,68,13
59,99,10
68,99,10
173,98,9
147,159,11
147,172,11
147,226,6
147,75,9
159,172,9
159,226,8
159,75,8
172,226,7
172,75,8
226,75,8
61,79,15
175,206,9
175,229,10
175,91,11
206,229,13
206,91,7
229,91,8
243,244,4
243,253,12
244,253,9
193,56,8
198,45,9
152,174,10
188,197,4
188,223,9
197,223,8
168,179,5
168,210,9
168,241,10
168,7,9
179,210,5
179,241,6
179,7,8
210,241,8
210,7,9
241,7,7
187,199,6
170,52,11
6,9,7
148,154,9
132,19,11
132,202,14
19,202,13
208,9,13
253,61,8
253,67,8
253,83,8
61,67,11
61,83,8
67,83,5
117,196,5
117,7,7
117,84,14
196,84,9
7,84,9
105,126,8
105,136,11
105,236,6
126,136,10
126,236,12
218,89,12
106,144,10
106,18,11
106,74,11
144,18,6
144,74,9
18,74,11
121,132,8
121,188,11
121,38,5
121,60,7
132,188,8
132,38,8
132,60,3
188,38,7
188,60,9
38,60,9
125,19,5
125,72,10
125,73,10
19,72,10
19,73,13
72,73,8
16,252,9
16,254,12
16,40,9
16,80,8
252,254,7
252,40,12
252,80,5
254,40,15
254,80,11
40,80,12
109,248,8
109,29,11
109,65,10
248,29,9
248,65,7
29,65,5
